option_code,trade_date,close,volume,amount,open_interest
90006728.SZ,2025-12-10,0.7318,20.0,14.6158,325.0
90006729.SZ,2025-12-10,0.37,76.0,28.2834,87.0
90006730.SZ,2025-12-10,0.2807,312.0,84.4304,234.0
90006731.SZ,2025-12-10,0.2017,788.0,149.7002,490.0
90006732.SZ,2025-12-10,0.134,1296.0,163.458,2003.0
90006733.SZ,2025-12-10,0.0832,1377.0,105.7079,1120.0
90006734.SZ,2025-12-10,0.0483,773.0,34.3441,874.0
90006735.SZ,2025-12-10,0.0276,480.0,12.4229,1113.0
90006736.SZ,2025-12-10,0.0073,1452.0,10.9157,1755.0
90006737.SZ,2025-12-10,0.0025,105.0,0.2502,418.0
90006738.SZ,2025-12-10,0.0136,243.0,3.4937,453.0
90006739.SZ,2025-12-10,0.0246,136.0,3.6693,175.0
90006740.SZ,2025-12-10,0.0448,228.0,11.2454,295.0
90006741.SZ,2025-12-10,0.0773,761.0,60.6634,995.0
90006742.SZ,2025-12-10,0.1249,956.0,125.427,858.0
90006743.SZ,2025-12-10,0.1901,778.0,154.5498,476.0
90006744.SZ,2025-12-10,0.2701,303.0,80.6262,429.0
90006745.SZ,2025-12-10,0.4874,55.0,26.8351,68.0
90006746.SZ,2025-12-10,0.734,20.0,14.68,26.0
90006747.SZ,2025-12-10,0.4012,76.0,29.5522,69.0
90006749.SZ,2025-12-10,0.2386,13.0,3.0781,21.0
90006750.SZ,2025-12-10,0.1784,50.0,8.919,154.0
90006751.SZ,2025-12-10,0.1458,154.0,21.0005,275.0
90006752.SZ,2025-12-10,0.1084,54.0,5.2471,92.0
90006753.SZ,2025-12-10,0.0801,608.0,44.1591,1723.0
90006754.SZ,2025-12-10,0.0382,86.0,2.9572,659.0
90006755.SZ,2025-12-10,0.0195,108.0,1.8147,450.0
90006756.SZ,2025-12-10,0.0491,31.0,1.6074,351.0
90006757.SZ,2025-12-10,0.0708,29.0,2.1316,93.0
90006758.SZ,2025-12-10,0.1033,23.0,2.4895,52.0
90006759.SZ,2025-12-10,0.15,21.0,3.2281,129.0
90006760.SZ,2025-12-10,0.1927,149.0,31.057,648.0
90006761.SZ,2025-12-10,0.2667,28.0,7.4654,41.0
90006762.SZ,2025-12-10,0.3296,166.0,56.934,383.0
90006763.SZ,2025-12-10,0.5357,91.0,50.2018,322.0
90006764.SZ,2025-12-10,0.7657,60.0,47.203,313.0
90006765.SZ,2025-12-10,0.4258,21.0,8.9292,32.0
90006767.SZ,2025-12-10,0.3071,76.0,22.7561,111.0
90006768.SZ,2025-12-10,0.2453,28.0,6.811,30.0
90006769.SZ,2025-12-10,0.2,4.0,0.798,49.0
90006770.SZ,2025-12-10,0.1725,3.0,0.496,72.0
90006771.SZ,2025-12-10,0.1333,1.0,0.1333,187.0
90006772.SZ,2025-12-10,0.0775,240.0,19.054,272.0
90006773.SZ,2025-12-10,0.0518,1.0,0.0518,55.0
90006774.SZ,2025-12-10,0.1137,2.0,0.2317,53.0
90006776.SZ,2025-12-10,0.1899,29.0,5.5058,51.0
90006777.SZ,2025-12-10,0.2305,40.0,9.4819,112.0
90006778.SZ,2025-12-10,0.293,23.0,6.7381,43.0
90006779.SZ,2025-12-10,0.3494,21.0,7.2714,70.0
90006780.SZ,2025-12-10,0.4139,6.0,2.4834,85.0
90005550.SZ,2025-12-11,1.235,31.0,38.724557,188.0
90005551.SZ,2025-12-11,1.1251,124.0,141.695268,312.0
90005552.SZ,2025-12-11,1.0325,60.0,62.897835,418.0
90005553.SZ,2025-12-11,0.9312,20.0,18.908947,332.0
90005557.SZ,2025-12-11,0.4996,23.0,11.974042,678.0
90005558.SZ,2025-12-11,0.0002,1.0,0.000203,11402.0
90005559.SZ,2025-12-11,0.0001,1.0,0.000102,3147.0
90005560.SZ,2025-12-11,0.0001,1.0,0.000102,2099.0
90005561.SZ,2025-12-11,0.0003,70.0,0.018275,2545.0
90005562.SZ,2025-12-11,0.0003,160.0,0.042643,1986.0
90005563.SZ,2025-12-11,0.0003,180.0,0.054826,2606.0
90005564.SZ,2025-12-11,0.0003,210.0,0.057872,2550.0
90005565.SZ,2025-12-11,0.0006,120.0,0.06904,4322.0
90005566.SZ,2025-12-11,0.0006,326.0,0.186409,2585.0
90005591.SZ,2025-12-11,0.3956,55.0,23.721672,786.0
90005592.SZ,2025-12-11,0.0009,260.0,0.206106,4851.0
90005607.SZ,2025-12-11,0.3114,76.0,26.63274,667.0
90005608.SZ,2025-12-11,0.0019,1574.0,2.429511,4384.0
90005793.SZ,2025-12-11,0.21,98.0,24.812206,1033.0
90005794.SZ,2025-12-11,0.0055,2753.0,11.113778,7087.0
90005839.SZ,2025-12-11,0.1199,1267.0,188.37998,5942.0
90005840.SZ,2025-12-11,0.0165,5691.0,75.545833,12007.0
90005901.SZ,2025-12-11,0.8817,1.0,0.89519,837.0
90005902.SZ,2025-12-11,0.7861,1.0,0.798127,196.0
90005904.SZ,2025-12-11,0.6008,2.0,1.219984,552.0
90005909.SZ,2025-12-11,0.2102,58.0,13.057875,812.0
90005910.SZ,2025-12-11,0.0046,119433.0,558.691771,26779.0
90005911.SZ,2025-12-11,0.0074,35538.0,262.225085,9086.0
90005912.SZ,2025-12-11,0.0116,2646.0,30.481134,2428.0
90005913.SZ,2025-12-11,0.0178,150.0,2.714608,1134.0
90005914.SZ,2025-12-11,0.0279,619.0,16.787681,1212.0
90005915.SZ,2025-12-11,0.0429,742.0,30.667644,1308.0
90005916.SZ,2025-12-11,0.0632,191.0,11.917998,1119.0
90005917.SZ,2025-12-11,0.0892,131.0,11.669655,1088.0
90005918.SZ,2025-12-11,0.1284,202.0,24.42558,1248.0
90005951.SZ,2025-12-11,0.0526,7008.0,498.273298,11141.0
90005952.SZ,2025-12-11,0.0477,4534.0,179.141969,8221.0
90005953.SZ,2025-12-11,0.1607,699.0,118.880868,1783.0
90005954.SZ,2025-12-11,0.173,458.0,76.843387,1526.0
90006039.SZ,2025-12-11,0.0163,8217.0,195.1765,9972.0
90006040.SZ,2025-12-11,0.1095,2588.0,223.235026,2918.0
90006041.SZ,2025-12-11,0.1197,639.0,83.778698,1434.0
90006042.SZ,2025-12-11,0.2275,183.0,39.650409,715.0
90006079.SZ,2025-12-11,0.004,5768.0,37.809569,12204.0
90006080.SZ,2025-12-11,0.1983,776.0,126.797162,1385.0
90006081.SZ,2025-12-11,0.0882,446.0,41.003195,2492.0
90006082.SZ,2025-12-11,0.2927,148.0,40.983194,1903.0
90006111.SZ,2025-12-11,0.0007,3977.0,3.844332,11242.0
90006112.SZ,2025-12-11,0.4414,326.0,137.543605,1791.0
90006113.SZ,2025-12-11,0.0408,78.0,3.407448,1805.0
90006253.SZ,2025-12-11,0.0009,1010.0,1.027484,6761.0
90006255.SZ,2025-12-11,0.0196,833.0,18.22697,3496.0
90006393.SZ,2025-12-11,0.0006,3627.0,2.461899,5319.0
90006394.SZ,2025-12-11,0.92,30.0,26.920883,386.0
90006395.SZ,2025-12-11,0.0101,840.0,10.078477,1473.0
90006417.SZ,2025-12-11,0.0004,6073.0,1.856984,10192.0
90006418.SZ,2025-12-11,1.1269,51.0,58.351322,399.0
90006419.SZ,2025-12-11,0.0062,3973.0,28.342506,3515.0
90006479.SZ,2025-12-11,0.3335,106.0,38.329606,391.0
90006480.SZ,2025-12-11,0.2815,202.0,61.4754,748.0
90006483.SZ,2025-12-11,0.154,23.0,3.914895,711.0
90006484.SZ,2025-12-11,0.1021,4.0,0.410587,908.0
90006485.SZ,2025-12-11,0.0558,81.0,4.7779,486.0
90006486.SZ,2025-12-11,0.0911,7.0,0.64766,311.0
90006487.SZ,2025-12-11,0.129,123.0,15.986609,845.0
90006489.SZ,2025-12-11,0.2088,10.0,2.119946,846.0
90006490.SZ,2025-12-11,0.2595,99.0,25.394785,540.0
90006491.SZ,2025-12-11,0.3109,60.0,18.970881,511.0
90006492.SZ,2025-12-11,0.38,140.0,51.518353,668.0
