etf_code,strategy_name,strategy_label,delta_buyback_threshold,delta_buyback_label,early_close_rule,early_close_parameter,early_close_label,cycle_count,selected_cycle_count,buyback_count,buyback_rate,baseline_assignment_count,residual_assignment_count,baseline_net_option_yield_sum,delta_buyback_net_option_yield_sum,net_option_yield_change_sum,baseline_strategy_return_sum,delta_buyback_strategy_return_sum,strategy_return_change_sum,baseline_upside_cost_sum,delta_buyback_close_cost_sum,added_buyback_cost_sum,triggered_cycle_strategy_change_median
510300,BuyHold,ETF BuyHold,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,0,0,,0,0,0.0,0.0,0.0,0.2820973087443333,0.2820973087443333,0.0,0.0,0.0,0.0,
510300,BuyHold,ETF BuyHold,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,0,0,,0,0,0.0,0.0,0.0,0.2820973087443333,0.2820973087443333,0.0,0.0,0.0,0.0,
510300,D10_Q100,D10 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,2,0.045454545454545456,3,1,-0.022308109861567196,0.011348791891567641,0.033656901753134835,0.2597891988827683,0.2934461006359034,0.033656901753135036,0.12240204886182411,0.08659861224983936,0.002146534858849778,0.016828450876567518
510300,D10_Q100,D10 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,1,0.022727272727272728,3,2,-0.022308109861567196,-0.0843952572421086,-0.06208714738054141,0.2597891988827683,0.197702051502227,-0.062087147380541316,0.12240204886182411,0.1804043516827799,0.004084844559585492,-0.062087147380541316
510300,D10_Q100,D10 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,1,0.022727272727272728,3,2,-0.022308109861567196,-0.0843952572421086,-0.06208714738054141,0.2597891988827683,0.197702051502227,-0.062087147380541316,0.12240204886182411,0.1804043516827799,0.004084844559585492,-0.062087147380541316
510300,D20_Q100,D20 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,6,0.13636363636363635,5,0,0.00045542678132480963,0.049438118988028974,0.04898269220670417,0.2825527355256602,0.33153542773236455,0.048982692206704356,0.222371172242872,0.1690770161249806,0.004311463911187005,0.003590369850121379
510300,D20_Q100,D20 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,4,0.09090909090909091,5,2,0.00045542678132480963,-0.044076776047947845,-0.044532202829272644,0.2825527355256602,0.2380205326963877,-0.04453220282927247,0.222371172242872,0.2610332485504552,0.0058701265216893036,-0.006831049160678493
510300,D20_Q100,D20 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,2,0.045454545454545456,5,3,0.00045542678132480963,-0.02916343217498944,-0.029618858956314248,0.2825527355256602,0.2529338765693462,-0.029618858956314054,0.222371172242872,0.24693487869583422,0.005055152503351939,-0.014809429478157027
510300,D30_Q100,D30 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,14,0.3181818181818182,13,4,-0.0384551872930268,-0.06099429707948847,-0.022539109786461658,0.24364212145130795,0.2211030116648464,-0.022539109786461564,0.4003348846547995,0.41413520587699904,0.008738788564262223,-0.008008382293244836
510300,D30_Q100,D30 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,10,0.22727272727272727,13,5,-0.0384551872930268,-0.09904414929826434,-0.06058896200523757,0.24364212145130795,0.18305315944607065,-0.06058896200523731,0.4003348846547995,0.4514043073164883,0.009519539343548706,-0.008903201135065937
510300,D30_Q100,D30 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,4,0.09090909090909091,13,9,-0.0384551872930268,-0.06623061785820282,-0.02777543056517606,0.24364212145130795,0.21586669088613217,-0.027775430565175768,0.4003348846547995,0.4215823533334489,0.006527961886526559,0.0009217141955691465
510300,D40_Q100,D40 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,23,0.5227272727272727,18,3,0.021374082519327726,-0.12066092896185633,-0.14203501148118405,0.3034713912636626,0.16143637978247843,-0.14203501148118416,0.5237816774012981,0.6504651337459165,0.015351555136566703,-0.010404472706487367
510300,D40_Q100,D40 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,16,0.36363636363636365,18,6,0.021374082519327726,-0.10180018734715686,-0.12317426986648457,0.3034713912636626,0.1802971213971778,-0.12317426986648479,0.5237816774012981,0.6333414945311052,0.013614452736678195,-0.012754754243120218
510300,D40_Q100,D40 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,4,0.09090909090909091,18,14,0.021374082519327726,-0.040775154195009565,-0.062149236714337294,0.3034713912636626,0.24132215454932543,-0.06214923671433718,0.5237816774012981,0.5773016614591934,0.008629252656442047,-0.008424903678089903
510300,D50_Q100,D50 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,28,0.6363636363636364,21,1,-0.07848803772230166,-0.17726138243042336,-0.09877334470812166,0.2036092710220325,0.10483592631391102,-0.09877334470812145,0.797927176140123,0.8749513699406748,0.021749150907571208,-0.008861672578547596
510300,D50_Q100,D50 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,22,0.5,21,3,-0.07848803772230166,-0.1685424597678801,-0.09005442204557836,0.2036092710220325,0.1135548489764543,-0.09005442204557818,0.797927176140123,0.867385738527468,0.020595859658234076,-0.009464597559231128
510300,D50_Q100,D50 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,16,0.36363636363636365,21,6,-0.07848803772230166,-0.2414746110534407,-0.162986573331139,0.2036092710220325,0.0406226976908937,-0.16298657333113878,0.797927176140123,0.9398543841502747,0.02105936532098775,-0.008945522553874471
