option_code,underlying_etf,option_type,strike,expiry
90003569.SZ,159922,C,1.895,2024-12-25
90003570.SZ,159922,C,1.99,2024-12-25
90003571.SZ,159922,C,2.085,2024-12-25
90003572.SZ,159922,C,2.179,2024-12-25
90003573.SZ,159922,C,2.274,2024-12-25
90003574.SZ,159922,C,2.369,2024-12-25
90003575.SZ,159922,C,2.464,2024-12-25
90003576.SZ,159922,P,1.819,2024-12-25
90003577.SZ,159922,P,1.857,2024-12-25
90003578.SZ,159922,P,1.895,2024-12-25
90003579.SZ,159922,P,1.99,2024-12-25
90003580.SZ,159922,P,2.085,2024-12-25
90003581.SZ,159922,P,2.179,2024-12-25
90003582.SZ,159922,P,2.274,2024-12-25
90003583.SZ,159922,P,2.369,2024-12-25
90003584.SZ,159922,P,2.464,2024-12-25
90003607.SZ,159922,C,6.75,2024-05-22
90003608.SZ,159922,P,6.75,2024-05-22
90003609.SZ,159922,C,2.558,2024-12-25
90003610.SZ,159922,P,2.558,2024-12-25
90003665.SZ,159922,C,4.9,2024-07-24
90003666.SZ,159922,C,5.0,2024-07-24
90003667.SZ,159922,C,5.25,2024-07-24
90003668.SZ,159922,C,5.5,2024-07-24
90003669.SZ,159922,C,5.75,2024-07-24
90003670.SZ,159922,C,6.0,2024-07-24
90003671.SZ,159922,C,6.25,2024-07-24
90003672.SZ,159922,C,6.5,2024-07-24
90003673.SZ,159922,C,6.75,2024-07-24
90003674.SZ,159922,P,4.9,2024-07-24
90003675.SZ,159922,P,5.0,2024-07-24
90003676.SZ,159922,P,5.25,2024-07-24
90003677.SZ,159922,P,5.5,2024-07-24
90003678.SZ,159922,P,5.75,2024-07-24
90003679.SZ,159922,P,6.0,2024-07-24
90003680.SZ,159922,P,6.25,2024-07-24
90003681.SZ,159922,P,6.5,2024-07-24
90003682.SZ,159922,P,6.75,2024-07-24
90003687.SZ,159922,C,4.8,2024-07-24
90003688.SZ,159922,P,4.8,2024-07-24
90003697.SZ,159922,C,4.7,2024-07-24
90003698.SZ,159922,P,4.7,2024-07-24
90003699.SZ,159922,C,1.781,2024-12-25
90003700.SZ,159922,P,1.781,2024-12-25
90003769.SZ,159922,C,4.7,2024-08-28
90003770.SZ,159922,C,4.8,2024-08-28
90003771.SZ,159922,C,4.9,2024-08-28
90003772.SZ,159922,C,5.0,2024-08-28
90003773.SZ,159922,C,5.25,2024-08-28
90003774.SZ,159922,C,5.5,2024-08-28
90003775.SZ,159922,C,5.75,2024-08-28
90003776.SZ,159922,C,6.0,2024-08-28
90003777.SZ,159922,C,6.25,2024-08-28
