surface_point_id,etf_code,strategy_name,moneyness_label,target_moneyness,avg_realized_moneyness,median_realized_moneyness,coverage,coverage_label,sample_start,sample_end,n_periods,selected_periods,option_sale_success_rate,assignment_frequency,avg_selected_delta,cumulative_return,annualized_return_cagr,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,premium_contribution_annualized,upside_cost_annualized,option_leg_annualized_pnl_contribution,total_net_option_contribution,source_note
mny_0125,510050,510050_DTE30_OTM5_Q50_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.5,Q50,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.2137239298061615,0.054384657389747515,0.17444260488092367,0.3117624701079822,0.1655846611859283,0.32844018884503556,0.030893203338656725,0.013997705196455958,0.01688005154053144,0.061893522315281946,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0126,510050,510050_DTE30_OTM5_Q60_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.6,Q60,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.2298828498288048,0.058204218428070664,0.17290500994971408,0.33662540168730903,0.16125165280650144,0.3609526936006944,0.03707184400638808,0.01679724623574715,0.02025606184863773,0.07427222677833833,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0127,510050,510050_DTE30_OTM5_Q70_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.7,Q70,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.24618684395858836,0.062021292676216255,0.17144403950132092,0.3617582323457702,0.15689817728634892,0.3952964511692417,0.04325048467411941,0.01959678727503834,0.023632072156744018,0.08665093124139472,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0128,510050,510050_DTE30_OTM5_Q80_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.8,Q80,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.2626361888242248,0.06583579946180795,0.1700616683503409,0.38712897562654064,0.1525241474095086,0.4316418126570275,0.049429125341850774,0.022396328314329535,0.0270080824648503,0.0990296357044511,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0129,510050,510050_DTE30_OTM5_Q90_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.9,Q90,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.2792311398307168,0.06964765659151073,0.16875982801135844,0.412702818035718,0.14812947562807421,0.47018094336864563,0.055607766009582116,0.025195869353620726,0.03038409277295659,0.11140834016750749,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0130,510050,510050_DTE30_OTM5_Q100_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,1.0,Q100,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.2959719306221893,0.07345678034289183,0.1675403957423293,0.43844220384835153,0.14371407406108194,0.5111314310919258,0.06178640667731345,0.027995410392911917,0.03376010308106288,0.12378704463056389,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0131,510050,510050_DTE30_OTM7_Q10_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.1,Q10,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.14993604928236048,0.03893573989528187,0.18215463421876207,0.21375102567262305,0.18469203806914025,0.2108143929881055,0.004251844313053198,0.000876748626427154,0.003372969764469517,0.012367555803054896,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0132,510050,510050_DTE30_OTM7_Q20_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.2,Q20,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.16492619294495992,0.04262115273749156,0.1811470034687772,0.2352848897378411,0.18243269436889797,0.23362672400873025,0.008503688626106396,0.001753497252854308,0.006745939528939034,0.02473511160610979,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0133,510050,510050_DTE30_OTM7_Q30_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.3,Q30,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.18006586954250015,0.04630851852415341,0.18018696554857527,0.25700259940095077,0.18016768158799035,0.2570301072644776,0.012755532939159594,0.0026302458792814612,0.010118909293408552,0.03710266740916469,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0134,510050,510050_DTE30_OTM7_Q40_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.4,Q40,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.1953561818156182,0.049997848268307,0.17927528505354506,0.2788886836987814,0.17789698695505762,0.2810494383524215,0.017007377252212793,0.003506994505708616,0.013491879057878069,0.04947022321221958,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
